t,amount,length,id_relation,Pays
2024-10-01T00:00:00.000Z,893966,5045268934.99201,"",World (default)
2024-11-01T00:00:00.000Z,903065,5067317602.62631,"",World (default)
2024-12-01T00:00:00.000Z,912859,5106035821.5267,"",World (default)
2025-01-01T00:00:00.000Z,923489,5128507562.17071,"",World (default)
2025-02-01T00:00:00.000Z,937083,5124753833.60146,"",World (default)
2025-03-01T00:00:00.000Z,945325,5143834491.24383,"",World (default)
2025-04-01T00:00:00.000Z,954732,5163540951.15573,"",World (default)
2025-05-01T00:00:00.000Z,963513,5194367849.07751,"",World (default)
2025-06-01T00:00:00.000Z,973046,5215775670.5259,"",World (default)
2025-07-01T00:00:00.000Z,979604,5229578528.0906,"",World (default)
2025-08-01T00:00:00.000Z,986568,5247166881.55782,"",World (default)
2025-09-01T00:00:00.000Z,998967,5263245648.54723,"",World (default)
2025-10-01T00:00:00.000Z,1008317,5283407522.06298,"",World (default)
2025-10-02T00:00:00.000Z,1008791,5284445785.58854,"",World (default)
2025-10-03T00:00:00.000Z,1009349,5286223133.61354,"",World (default)
2025-10-04T00:00:00.000Z,1009862,5288616234.44632,"",World (default)
2025-10-05T00:00:00.000Z,1010295,5289188946.92746,"",World (default)
2025-10-06T00:00:00.000Z,1011041,5290058665.61411,"",World (default)
2025-10-07T00:00:00.000Z,1011385,5291215052.9816,"",World (default)
2025-10-08T00:00:00.000Z,1011969,5292325681.33059,"",World (default)
2025-10-09T00:00:00.000Z,1012367,5292887966.00031,"",World (default)
2025-10-10T00:00:00.000Z,1012934,5294056798.16523,"",World (default)
2025-10-11T00:00:00.000Z,1013258,5295225429.48564,"",World (default)
2025-10-12T00:00:00.000Z,1013947,5296055871.20496,"",World (default)
2025-10-13T00:00:00.000Z,1014985,5298620234.17868,"",World (default)
2025-10-14T00:00:00.000Z,1015400,5299510468.15183,"",World (default)
2025-10-15T00:00:00.000Z,1016134,5300256455.17729,"",World (default)
2025-10-16T00:00:00.000Z,1016373,5300768321.72208,"",World (default)
2025-10-17T00:00:00.000Z,1016848,5301965549.60794,"",World (default)
2025-10-18T00:00:00.000Z,1017276,5303303009.58385,"",World (default)
2025-10-19T00:00:00.000Z,1017671,5304086994.1881,"",World (default)
2025-10-20T00:00:00.000Z,1018243,5304825168.17188,"",World (default)
