x,amount,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,id_relation,Pays
2024-01-01T00:00:00.000Z,970963,5292783.04690075,687249448.158295,115874,286769760.368424,545662230.084512,662250,4383114.9019619,37314546.1644793,643517,4337750.81858479,36586614.665845,"",World (default)
2024-02-01T00:00:00.000Z,979739,5313061.9372369,687399583.992589,118242,291347161.425345,545657840.9636,669096,4401656.15235608,37435916.412967,650201,4356093.82416386,36707649.5325377,"",World (default)
2024-03-01T00:00:00.000Z,995563,5335950.61282495,687019757.669668,121410,296011943.121165,545657840.9636,682653,4425520.73381909,37619011.9151787,663176,4379526.22172139,36890745.0347494,"",World (default)
2024-04-01T00:00:00.000Z,1008467,5367390.3739571,686816921.060331,125258,299308506.657773,544516797.534735,691772,4455317.93533078,38532925.1966019,671480,4407686.23056689,36663278.4821142,"",World (default)
2024-05-01T00:00:00.000Z,1020750,5390252.26434702,682477350.12506,127853,304397414.539842,544516797.534735,701387,4478385.66821984,33628741.8055174,680622,4430108.18653712,31759095.0910296,"",World (default)
2024-06-01T00:00:00.000Z,1030404,5412772.27228404,682610728.991566,129938,307976231.193449,545659867.852061,710617,4500921.68770602,32624956.5841405,689602,4451172.85527181,31896689.7037112,"",World (default)
2024-07-01T00:00:00.000Z,1041059,5436174.69309185,682588790.761357,132440,311731505.718377,545659203.193728,719301,4526855.30749436,32655880.7683026,697970,4476523.11560209,31927613.8878733,"",World (default)
2024-08-01T00:00:00.000Z,1057870,5461278.64405628,712323547.935137,138047,317896970.793441,545683645.463287,726036,4550349.36056268,33115502.9623666,704359,4499874.20258969,32387236.0819373,"",World (default)
2024-09-01T00:00:00.000Z,1063406,5485396.0184168,712641049.174122,142282,323039458.811625,545759069.497038,731873,4576802.96078072,33508029.4820287,709920,4525156.79474374,32779762.6015994,"",World (default)
2024-10-01T00:00:00.000Z,1073062,5510282.51850571,712786414.859154,145210,328423402.524154,545774082.613375,738227,4595723.26780108,33616493.6611475,716063,4543650.44310528,32888226.7807182,"",World (default)
2024-11-01T00:00:00.000Z,1081714,5534890.73082497,713097886.845422,149189,332422555.422128,545759650.205536,744451,4619773.91619498,33655176.2765236,721955,4567143.06053367,32926909.3960943,"",World (default)
2024-12-01T00:00:00.000Z,1093352,5576235.41880423,717081395.283968,153573,336890531.978497,545776835.197879,751045,4662723.42841159,33767335.4747123,728198,4610313.26659763,33038578.6321544,"",World (default)
2025-01-01T00:00:00.000Z,1106318,5606526.2565965,717343131.317747,159035,342238884.681246,536976673.988129,757209,4684921.68675684,43225262.1724193,734149,4632329.63938781,33685984.0230967,"",World (default)
2025-02-01T00:00:00.000Z,1121175,5628937.51514713,722950434.942811,166014,348621702.871325,536976780.094478,764742,4699507.8823032,48637341.8809644,741525,4646548.26638829,39098063.843532,"",World (default)
2025-03-01T00:00:00.000Z,1129875,5649402.64918192,757283639.315639,168308,353640210.296475,537411863.561716,771325,4716094.25009615,50577706.6729422,748012,4662767.12885748,41038428.6355099,"",World (default)
2025-04-01T00:00:00.000Z,1140130,5691572.28596334,759374408.271693,172254,359568114.069878,537412718.881809,777408,4732261.60459559,52498942.2920419,753725,4678470.57060088,42959664.2546094,"",World (default)
2025-05-01T00:00:00.000Z,1151056,5731670.08724323,759628925.561901,175498,366594873.563485,537462969.266693,784303,4765511.16866622,52670692.2166931,760251,4711312.02043388,43131414.1792607,"",World (default)
2025-06-01T00:00:00.000Z,1163446,5760326.51439886,878933910.98547,179468,371715476.096645,598991077.145721,790866,4785774.0718737,108215568.94839,766441,4729921.84042737,43200725.413686,"",World (default)
2025-07-01T00:00:00.000Z,1171185,5779489.14388655,872264031.37292,183202,377919536.998439,593026978.740926,794589,4797136.71973207,107565033.948672,769802,4739372.23063997,43272181.6753158,"",World (default)
2025-08-01T00:00:00.000Z,1180225,5805360.03832404,867801640.738696,186887,380660874.091472,593026554.590058,799563,4816862.48043692,106908446.262898,774547,4758840.79896715,42615653.8339434,"",World (default)
2025-09-01T00:00:00.000Z,1195264,5833625.40629392,846614778.661042,194453,385932106.575262,593032234.088482,806273,4838406.82580096,114627514.894057,780844,4779279.74895243,42662694.7486333,"",World (default)
2025-10-01T00:00:00.000Z,1220842,5863610.50849551,848194974.351797,198547,389004538.540609,593032234.088482,812782,4863952.62850565,114782696.102796,787134,4804482.56229897,42818019.4683724,"",World (default)
