x,amount,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.generation.amount,labels.generation.length,labels.generation.area,labels.industrial.amount,labels.industrial.length,labels.industrial.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,id_relation,Pays
2024-01-01T00:00:00.000Z,652638,77167610.5976865,2169068674.01954,63826,13570730.5005512,248254101.396647,3811,911388.433930051,21813141.86151,12606,2068863.4299342,31036000.4144489,117353,45160090.9933193,1581463816.34441,"",World (default)
2024-02-01T00:00:00.000Z,658019,77515456.6223288,2174590308.18953,64321,13668673.3862718,249864791.422619,4027,952009.983384339,22516422.5079441,12924,2101942.46603981,31375986.0379385,118653,45515540.4395486,1590624045.68133,"",World (default)
2024-03-01T00:00:00.000Z,663599,77916476.9651407,2181698342.28786,64894,13771253.545399,251164144.65173,4221,994928.925570433,23392624.3730585,13166,2137833.05368887,32001094.7252459,120108,45975932.4586857,1602252315.95404,"",World (default)
2024-04-01T00:00:00.000Z,670640,78377971.1095333,2191135291.37733,65471,13895606.0004145,254012368.39188,4595,1059986.72006917,26919411.7233585,13348,2175989.91682841,32728745.7108831,121662,46445928.8110344,1613722059.25268,"",World (default)
2024-05-01T00:00:00.000Z,675006,78807258.0913781,2198716947.63359,66065,14023041.9721993,255997503.50013,4805,1113406.55926311,28026424.6086448,13436,2189362.62285637,32960728.4696027,123457,46925689.2951323,1625316687.18356,"",World (default)
2024-06-01T00:00:00.000Z,680721,79187773.7180132,2204945358.28979,66693,14142547.758879,257877944.244549,4877,1124152.67954766,28280864.2754021,13542,2206293.10569994,33218699.1717848,125253,47303499.5910218,1633263563.85605,"",World (default)
2024-07-01T00:00:00.000Z,685184,79545339.1476802,2213565860.14224,67110,14224508.1197876,259152352.306735,4957,1138035.25010376,28523830.5610135,13675,2231610.10130947,33655862.8848088,126531,47704980.8622155,1646044391.54197,"",World (default)
2024-08-01T00:00:00.000Z,690388,79872137.0079747,2220940928.36491,67837,14294382.1161335,260337483.30135,5099,1172631.35260661,29270687.0298635,13849,2265216.99648291,34346360.1309288,127473,48199991.2328995,1663022562.39244,"",World (default)
2024-09-01T00:00:00.000Z,696076,80252056.2434551,2227339624.80127,68780,14420123.3293895,262821767.997851,5203,1200108.78736262,29854178.3707272,13980,2289719.07754871,34785408.027396,128652,48621157.7613448,1676067474.95386,"",World (default)
2024-10-01T00:00:00.000Z,701522,80627658.4737912,2235420978.67699,69801,14553751.8315969,265885174.949087,5309,1223044.28471097,30263446.4239105,14124,2313073.71081492,35153565.2495262,129623,48937209.5925429,1685474163.305,"",World (default)
2024-11-01T00:00:00.000Z,708497,81059453.6113318,2246808299.35015,70219,14639509.3698748,267364511.723918,5392,1235609.09095703,30486606.8078676,14308,2335018.86418673,35519890.4580734,130643,49322782.2530283,1700759460.30982,"",World (default)
2024-12-01T00:00:00.000Z,715234,81682810.5446763,2263729099.31047,70604,14737560.6492109,270084083.57599,5493,1255002.63377869,30825352.4783095,14454,2371473.08105934,36724165.1737577,132248,50033771.1592265,1725972165.4184,"",World (default)
2025-01-01T00:00:00.000Z,722195,82116379.3643394,2272415651.6432,70986,14820791.0645581,271779753.580977,5603,1286514.05732923,31667699.9331339,14705,2409003.45681339,37357733.0401208,133486,50445868.4580451,1738368859.55423,"",World (default)
2025-02-01T00:00:00.000Z,728700,82467125.866551,2277915640.72689,71663,14943295.7607653,273763150.115536,5687,1305265.69532462,32062239.985063,14789,2422340.23313995,37549066.2017472,134254,50650652.8274624,1742611729.00633,"",World (default)
2025-03-01T00:00:00.000Z,733875,82846723.269476,2284745960.55493,72175,15040221.5865079,275476758.637544,5766,1327765.70662116,32709654.4655265,14881,2439728.38980629,37976315.8484062,135142,50953039.4710676,1750902511.27551,"",World (default)
2025-04-01T00:00:00.000Z,739611,83286198.9645121,2293809296.79068,72557,15106032.7025133,276672049.963481,5832,1342278.39036907,33075212.0065441,14999,2459020.31023284,38338186.7229882,135996,51263035.8407028,1760104345.1868,"",World (default)
2025-05-01T00:00:00.000Z,746277,83806647.3572545,2304505472.47196,72980,15198817.6081327,278300871.898859,6032,1369100.08562062,33995994.1274924,15196,2505306.07246998,39434757.9938285,137440,51899475.0179822,1784830873.9529,"",World (default)
2025-06-01T00:00:00.000Z,754303,84197092.2010345,2310355323.96293,73416,15286770.5149453,279827455.485608,6179,1382676.88684503,34196477.802857,15368,2526800.98895173,39789506.0957372,138385,52161592.5847722,1790751073.80547,"",World (default)
2025-07-01T00:00:00.000Z,761220,84488121.5867034,2314809489.43123,73752,15345572.0787901,280686032.568709,6275,1398150.25979967,34650132.1232469,15463,2541551.48318639,40058590.4216859,139187,52349249.1919584,1794444637.31016,"",World (default)
2025-08-01T00:00:00.000Z,768502,84870623.1192967,2322367294.52966,73983,15383993.7271967,281251617.259153,6355,1409915.48314537,34809655.1987468,15586,2554871.42148055,40241562.3318207,140071,52604060.3518097,1801707037.79413,"",World (default)
2025-09-01T00:00:00.000Z,776440,85304157.6912271,2330003576.87259,74469,15456990.9156115,282274136.96287,6451,1429344.4104388,35046142.4262396,15772,2578492.06991964,40578381.6212503,141271,52998690.7584518,1812017978.51261,"",World (default)
2025-10-01T00:00:00.000Z,782722,85697840.0032509,2338574787.59209,74871,15460445.8090267,282031695.982603,6531,1446373.79926666,35413195.5734438,15893,2601368.18800977,41025147.480011,142249,53356832.904308,1822724015.56674,"",World (default)
2025-11-01T00:00:00.000Z,789684,86192027.8767657,2349709232.0829,75145,15521652.7599499,283191976.430998,6747,1476206.37166556,36197709.0603497,16067,2626859.20221129,41379250.8349061,143870,53892254.2672316,1839098384.50185,"",World (default)
2025-11-02T00:00:00.000Z,789737,86202888.4460941,2350053753.70448,75151,15523022.5796249,283212094.377187,6749,1476862.24378749,36211248.6821619,16068,2627188.11069024,41384712.8171986,143881,53895454.3078508,1839178710.41933,"",World (default)
2025-11-03T00:00:00.000Z,789830,86212956.9844726,2350254616.60419,75152,15523092.8009577,283211532.783356,6751,1477712.63643807,36231183.8992459,16068,2627083.81348229,41383602.7861943,143908,53904536.2577884,1839509138.02079,"",World (default)
2025-11-04T00:00:00.000Z,790031,86246378.6739241,2351619724.83632,75159,15524723.4931057,283243643.483745,6751,1477723.70205258,36232292.5533834,16071,2627351.0297943,41386296.000221,143977,53942132.1472514,1841295724.24317,"",World (default)
2025-11-05T00:00:00.000Z,790256,86265108.6208895,2352080303.19958,75159,15524572.2730842,283242826.796444,6752,1477905.28815529,36234295.2473303,16074,2627444.17301936,41386528.4175005,144009,53961642.8025835,1842215274.13761,"",World (default)
2025-11-06T00:00:00.000Z,790495,86287063.0493594,2352432847.49161,75160,15524955.0826761,283250418.770938,6753,1478028.62726554,36235943.2685493,16078,2627724.99584159,41387715.7036639,144055,53979274.3003761,1842693920.68378,"",World (default)
2025-11-07T00:00:00.000Z,790683,86304669.8805123,2352928229.35372,75162,15525602.6824634,283271234.795038,6756,1479774.40663718,36297536.9103251,16081,2627954.57083145,41389444.6516689,144152,54016406.2564981,1843963324.25678,"",World (default)
2025-11-08T00:00:00.000Z,790917,86318354.5081034,2353178831.31278,75179,15531877.0870207,283412486.805747,6769,1482554.62122015,36416785.4865527,16084,2628152.26943226,41388226.5651335,144187,54028642.3977356,1844245897.99559,"",World (default)
2025-11-09T00:00:00.000Z,791197,86362848.5003156,2354046765.97318,75182,15532343.305623,283409235.480929,6773,1483898.20534607,36444954.235727,16083,2628146.79937262,41387981.0784415,144240,54053565.6501367,1845263627.65634,"",World (default)
2025-11-10T00:00:00.000Z,791383,86376506.0328593,2354326350.15979,75190,15534562.3126485,283457520.180854,6775,1484577.84045107,36459577.5294014,16084,2628260.97564247,41388753.5620746,144328,54091942.2164875,1846392206.09871,"",World (default)
2025-11-11T00:00:00.000Z,791590,86400274.7271864,2355125570.18968,75210,15540232.3760909,283569992.908274,6778,1484850.63585312,36461467.7022356,16090,2629393.04249899,41406404.7081081,144461,54160199.7381213,1848751136.07766,"",World (default)
2025-11-12T00:00:00.000Z,792800,86410678.4753334,2355313100.26138,75213,15540835.2627927,283575608.937815,6777,1484301.39946397,36428311.2234985,16090,2629392.03689126,41406344.3337889,144471,54162910.7489376,1848769761.96477,"",World (default)
2025-11-13T00:00:00.000Z,793033,86424274.0494364,2355655121.81556,75214,15541733.0197063,283595081.474048,6780,1484387.92772363,36428261.5144857,16095,2630234.58019789,41418901.8067246,144482,54168530.6236312,1848960952.21908,"",World (default)
