x,amount,length,area,id_relation,Pays
2024-01-01T00:00:00.000Z,29132640,0,0,"",World (default)
2024-02-01T00:00:00.000Z,29387678,0,0,"",World (default)
2024-03-01T00:00:00.000Z,29679179,0,0,"",World (default)
2024-04-01T00:00:00.000Z,29939927,0,0,"",World (default)
2024-05-01T00:00:00.000Z,30163289,0,0,"",World (default)
2024-06-01T00:00:00.000Z,30379311,0,0,"",World (default)
2024-07-01T00:00:00.000Z,30631111,0,0,"",World (default)
2024-08-01T00:00:00.000Z,30870059,0,0,"",World (default)
2024-09-01T00:00:00.000Z,31147485,0,0,"",World (default)
2024-10-01T00:00:00.000Z,31461711,0,0,"",World (default)
2024-11-01T00:00:00.000Z,31836725,0,0,"",World (default)
2024-12-01T00:00:00.000Z,32267379,0,0,"",World (default)
2025-01-01T00:00:00.000Z,32614398,0,0,"",World (default)
2025-02-01T00:00:00.000Z,33012767,0,0,"",World (default)
2025-03-01T00:00:00.000Z,33351986,0,0,"",World (default)
2025-04-01T00:00:00.000Z,33704038,0,0,"",World (default)
2025-05-01T00:00:00.000Z,34028045,0,0,"",World (default)
2025-06-01T00:00:00.000Z,34354280,0,0,"",World (default)
2025-07-01T00:00:00.000Z,34638316,0,0,"",World (default)
2025-08-01T00:00:00.000Z,34927374,0,0,"",World (default)
2025-09-01T00:00:00.000Z,35272549,0,0,"",World (default)
2025-10-01T00:00:00.000Z,35573917,0,0,"",World (default)
2025-11-01T00:00:00.000Z,35910812,0,0,"",World (default)
2025-11-02T00:00:00.000Z,35923204,0,0,"",World (default)
2025-11-03T00:00:00.000Z,35936939,0,0,"",World (default)
2025-11-04T00:00:00.000Z,35948068,0,0,"",World (default)
2025-11-05T00:00:00.000Z,35956620,0,0,"",World (default)
2025-11-06T00:00:00.000Z,35966173,0,0,"",World (default)
2025-11-07T00:00:00.000Z,35975878,0,0,"",World (default)
2025-11-08T00:00:00.000Z,35987972,0,0,"",World (default)
2025-11-09T00:00:00.000Z,36000253,0,0,"",World (default)
2025-11-10T00:00:00.000Z,36009118,0,0,"",World (default)
2025-11-11T00:00:00.000Z,36020666,0,0,"",World (default)
2025-11-12T00:00:00.000Z,36029036,0,0,"",World (default)
2025-11-13T00:00:00.000Z,36037897,0,0,"",World (default)
2025-11-14T00:00:00.000Z,36046132,0,0,"",World (default)
2025-11-15T00:00:00.000Z,36068734,0,0,"",World (default)
2025-11-16T00:00:00.000Z,36078148,0,0,"",World (default)
2025-11-17T00:00:00.000Z,36086083,0,0,"",World (default)
2025-11-18T00:00:00.000Z,36095202,0,0,"",World (default)
2025-11-19T00:00:00.000Z,36104612,0,0,"",World (default)
2025-11-20T00:00:00.000Z,36111964,0,0,"",World (default)
2025-11-21T00:00:00.000Z,36122101,0,0,"",World (default)
2025-11-22T00:00:00.000Z,36133402,0,0,"",World (default)
2025-11-23T00:00:00.000Z,36148702,0,0,"",World (default)
2025-11-24T00:00:00.000Z,36155038,0,0,"",World (default)
2025-11-25T00:00:00.000Z,36161526,0,0,"",World (default)
2025-11-26T00:00:00.000Z,36213414,0,0,"",World (default)
