t,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,Country,growth_percent,growth_km
2025-11-13T00:00:00Z,3487.46744347021,0,,,,125,3487.46744347021,0,125,3487.46744347021,0,Afghanistan,0.123088541124669,382.22033625831
2025-11-13T00:00:00Z,2752.73070572674,0,20,54094.4518563037,0,358,2698.63625387044,0,358,2698.63625387044,0,Albania,0.00772747693971192,21.1085472377299
2025-11-13T00:00:00Z,33078.5441139099,0,28,240340.099998654,0,1617,32838.2040139113,0,1599,32821.3900704336,0,Algeria,0.0297697786436756,956.272903466997
2025-11-13T00:00:00Z,54.5600728155755,0,,,,9,54.5600728155755,0,8,54.4947690524425,0,Andorra,0.0217081360318021,1.1592327014108
2025-11-13T00:00:00Z,5985.86451999048,0,,,,194,5985.86451999048,0,192,5985.25308234319,0,Angola,0.000121609364178331,0.727848665120291
2025-11-13T00:00:00Z,55806.3169775176,0,175,1299903.57394674,0,2931,54547.8492623481,0,2680,53822.6139256529,0,Argentina,0.0149355568540459,821.232850109402
2025-11-13T00:00:00Z,3357.06984040005,0,89,354020.906431416,0,306,3006.68805888739,0,306,3006.68805888739,0,Armenia,0.00107504562683528,3.60512757426977
2025-11-13T00:00:00Z,79936.5309846542,0,2204,7499781.9904779,0,13655,72498.5316574235,0,13236,71359.0315263983,0,Australia,0.0120186925467212,949.322968272798
2025-11-13T00:00:00Z,13473.1780483818,0,3182,1292916.31089916,0,5708,12280.5617309471,0,5272,11633.3284100144,0,Austria,-0.00155611404827654,-20.9984776621004
2025-11-13T00:00:00Z,7991.14978143031,0,27,211708.246363585,0,778,7779.44153506673,0,775,7777.80615475065,0,Azerbaijan,0.070060007695036,523.204316723471
2025-11-13T00:00:00Z,18.825880344519,0,,,,16,18.825880344519,0,16,18.825880344519,0,Bahrain,0.0145886252940109,0.270694651338602
2025-11-13T00:00:00Z,10786.1465943525,0,11,6253.27589863216,0,836,10779.8933184538,0,836,10779.8933184538,0,Bangladesh,0.179243310367522,1639.4789817197
2025-11-13T00:00:00Z,35443.3670871729,0,1737,11627895.7550189,0,2813,23899.7243462052,0,2794,23890.3824155771,0,Belarus,-0.0003164938535347,-11.2211592595995
2025-11-13T00:00:00Z,7025.03626693304,0,216,636298.586580104,0,3841,6384.71187832981,0,3654,5639.61183532955,0,Belgium,-0.0137045506899666,-97.6127038671702
2025-11-13T00:00:00Z,774.98687666886,0,10,80678.9538995296,0,24,694.30792276933,0,24,694.30792276933,0,Belize,-0.00954768662166707,-7.47065934865702
2025-11-13T00:00:00Z,1614.82769014543,0,,,,40,1614.82769014543,0,40,1614.82769014543,0,Benin,0.169152312189084,233.63238025302
