x,amount,amount_1d,amount_30d,id_relation,Pays
2024-01-01T00:00:00.000Z,0,169,1625,"",World (default)
2024-02-01T00:00:00.000Z,1717,120,1670,"",World (default)
2024-03-01T00:00:00.000Z,2765,162,1816,"",World (default)
2024-04-01T00:00:00.000Z,3767,189,1959,"",World (default)
2024-05-01T00:00:00.000Z,4657,169,1959,"",World (default)
2024-06-01T00:00:00.000Z,5554,141,2031,"",World (default)
2024-07-01T00:00:00.000Z,6289,185,1891,"",World (default)
2024-08-01T00:00:00.000Z,7159,183,2079,"",World (default)
2024-09-01T00:00:00.000Z,8165,187,2373,"",World (default)
2024-10-01T00:00:00.000Z,8813,171,1946,"",World (default)
2024-11-01T00:00:00.000Z,9428,150,1973,"",World (default)
2024-12-01T00:00:00.000Z,9966,153,1768,"",World (default)
2025-01-01T00:00:00.000Z,10607,191,1982,"",World (default)
2025-02-01T00:00:00.000Z,11275,194,2142,"",World (default)
2025-03-01T00:00:00.000Z,11860,188,2087,"",World (default)
2025-04-01T00:00:00.000Z,12667,191,2475,"",World (default)
2025-05-01T00:00:00.000Z,13453,198,2589,"",World (default)
2025-06-01T00:00:00.000Z,14256,242,2606,"",World (default)
2025-07-01T00:00:00.000Z,15043,206,2573,"",World (default)
2025-08-01T00:00:00.000Z,15903,205,2644,"",World (default)
2025-09-01T00:00:00.000Z,16846,232,2956,"",World (default)
2025-10-01T00:00:00.000Z,17529,187,2476,"",World (default)
2025-11-01T00:00:00.000Z,18254,211,2423,"",World (default)
2025-11-02T00:00:00.000Z,18287,229,2482,"",World (default)
2025-11-03T00:00:00.000Z,18319,222,2489,"",World (default)
2025-11-04T00:00:00.000Z,18331,171,2464,"",World (default)
2025-11-05T00:00:00.000Z,18356,216,2459,"",World (default)
2025-11-06T00:00:00.000Z,18386,196,2466,"",World (default)
2025-11-07T00:00:00.000Z,18409,218,2477,"",World (default)
2025-11-08T00:00:00.000Z,18431,200,2472,"",World (default)
2025-11-09T00:00:00.000Z,18457,212,2486,"",World (default)
2025-11-10T00:00:00.000Z,18488,243,2508,"",World (default)
2025-11-11T00:00:00.000Z,18499,180,2480,"",World (default)
2025-11-12T00:00:00.000Z,18526,212,2471,"",World (default)
2025-11-13T00:00:00.000Z,18550,178,2461,"",World (default)
2025-11-14T00:00:00.000Z,18564,177,2444,"",World (default)
2025-11-15T00:00:00.000Z,18578,180,2426,"",World (default)
2025-11-16T00:00:00.000Z,18593,191,2423,"",World (default)
2025-11-17T00:00:00.000Z,18614,220,2417,"",World (default)
2025-11-18T00:00:00.000Z,18631,177,2393,"",World (default)
2025-11-19T00:00:00.000Z,18645,173,2340,"",World (default)
2025-11-20T00:00:00.000Z,18668,183,2340,"",World (default)
2025-11-21T00:00:00.000Z,18685,179,2332,"",World (default)
2025-11-22T00:00:00.000Z,18704,182,2315,"",World (default)
2025-11-23T00:00:00.000Z,18726,197,2321,"",World (default)
