ts,amount,len
2024-10-01 00:00:00,1013,14876369.701864
2024-11-01 00:00:00,1016,15055732.8558745
2024-12-01 00:00:00,1019,15167605.0178179
2025-01-01 00:00:00,1019,15414551.5277135
2025-02-01 00:00:00,1018,15418186.0980313
2025-03-01 00:00:00,1015,15491528.9643791
2025-04-01 00:00:00,1018,15536209.8505718
2025-05-01 00:00:00,1021,15541086.2925523
2025-06-01 00:00:00,1025,15674246.1992638
2025-07-01 00:00:00,1040,16348356.0300829
2025-08-01 00:00:00,1069,17066690.8400838
2025-09-01 00:00:00,1233,17885787.9147616
2025-09-02 00:00:00,1297,17945554.4629345
2025-09-03 00:00:00,1297,17945554.4629345
2025-09-04 00:00:00,1297,17945554.4629345
2025-09-05 00:00:00,1335,18045297.1525695
2025-09-06 00:00:00,1346,18049489.6286458
2025-09-07 00:00:00,1346,18048917.6006179
2025-09-08 00:00:00,1349,18049330.4573249
2025-09-09 00:00:00,1349,18049330.4573249
2025-09-10 00:00:00,1349,18049330.4573249
2025-09-11 00:00:00,1361,18053293.5815616
2025-09-12 00:00:00,1361,18053293.5815616
2025-09-13 00:00:00,1361,18053293.5815617
2025-09-14 00:00:00,1367,18053253.7739271
2025-09-15 00:00:00,1367,18053253.7739271
2025-09-16 00:00:00,1397,18054825.0896391
2025-09-17 00:00:00,1432,18076538.6979553
2025-09-18 00:00:00,1432,18076526.3835433
2025-09-19 00:00:00,1434,18076593.9103375
2025-09-20 00:00:00,1434,18076593.9103375
2025-09-21 00:00:00,1436,18076620.0876305
2025-09-22 00:00:00,1440,18076739.5998888
2025-09-23 00:00:00,1444,17719260.6541662
2025-09-24 00:00:00,1454,17595453.3294372
2025-09-25 00:00:00,1464,17420549.5432
2025-09-26 00:00:00,1504,16912285.7063805
2025-09-27 00:00:00,1514,16856610.244665
2025-09-28 00:00:00,1514,16856610.244665
2025-09-29 00:00:00,1514,16856610.244665
2025-09-30 00:00:00,1515,16856610.244665
2025-10-01 00:00:00,1515,16856610.244665
2025-10-02 00:00:00,1515,16856610.244665
2025-10-03 00:00:00,1515,16856610.244665
2025-10-04 00:00:00,1515,16856610.244665
2025-10-05 00:00:00,1515,16856610.244665
2025-10-06 00:00:00,1516,16856610.244665
2025-10-07 00:00:00,1516,16856610.244665
2025-10-08 00:00:00,1518,16856610.244665
2025-10-09 00:00:00,1512,16721006.865813
2025-10-10 00:00:00,1518,16218362.4497998
2025-10-11 00:00:00,1518,16218362.4497998
2025-10-12 00:00:00,1518,16218362.4497998
2025-10-13 00:00:00,1518,16218362.4497998
2025-10-14 00:00:00,1515,16124501.2600969
