ts,amount,len
2024-10-01 00:00:00,893282,5040158681.8902
2024-11-01 00:00:00,902364,5062145125.53728
2024-12-01 00:00:00,912136,5100382630.59417
2025-01-01 00:00:00,922726,5122144162.7872
2025-02-01 00:00:00,936316,5116439260.27102
2025-03-01 00:00:00,944555,5134819885.463
2025-04-01 00:00:00,953949,5154600219.28818
2025-05-01 00:00:00,962696,5185026738.86917
2025-06-01 00:00:00,972223,5206152652.56425
2025-07-01 00:00:00,978768,5219933858.91887
2025-08-01 00:00:00,985714,5237237912.24844
2025-09-01 00:00:00,998096,5254600006.1157
2025-09-02 00:00:00,998335,5255153495.7703
2025-09-03 00:00:00,998463,5255284451.196
2025-09-04 00:00:00,998794,5255696313.89888
2025-09-05 00:00:00,999047,5256233363.73054
2025-09-06 00:00:00,999302,5256698275.4368
2025-09-07 00:00:00,999810,5256965768.77035
2025-09-08 00:00:00,1000089,5257876525.0034
2025-09-09 00:00:00,1000254,5258110704.14897
2025-09-10 00:00:00,1000714,5258485412.79247
2025-09-11 00:00:00,1001029,5258655794.46923
2025-09-12 00:00:00,1001368,5258968986.88465
2025-09-13 00:00:00,1001599,5259185078.15888
2025-09-14 00:00:00,1001814,5259696681.59034
2025-09-15 00:00:00,1002307,5260085352.49058
2025-09-16 00:00:00,1002752,5261235896.01069
2025-09-17 00:00:00,1002996,5261443567.96941
2025-09-18 00:00:00,1003024,5261775224.45643
2025-09-19 00:00:00,1003188,5262342455.30957
2025-09-20 00:00:00,1003421,5262492945.78324
2025-09-21 00:00:00,1003773,5262936161.47861
2025-09-22 00:00:00,1004044,5264340350.08887
2025-09-23 00:00:00,1004729,5257703388.58352
2025-09-24 00:00:00,1005142,5251337692.064
2025-09-25 00:00:00,1005698,5248278449.36112
2025-09-26 00:00:00,1006209,5240718566.15003
2025-09-27 00:00:00,1006581,5234677665.15237
2025-09-28 00:00:00,1006939,5231497249.5835
2025-09-29 00:00:00,1007254,5227352757.823
2025-09-30 00:00:00,1007788,5204156156.04551
2025-10-01 00:00:00,1008133,5199393315.85345
2025-10-02 00:00:00,1008750,5194116459.52777
2025-10-03 00:00:00,1009434,5189800865.24096
2025-10-04 00:00:00,1010098,5184413568.84904
2025-10-05 00:00:00,1010645,5178236345.81341
2025-10-06 00:00:00,1011534,5170230905.38839
2025-10-07 00:00:00,1011917,5166539635.70145
2025-10-08 00:00:00,1012526,5162759655.69879
2025-10-09 00:00:00,1012971,5158626748.2543
2025-10-10 00:00:00,1013566,5153846599.46655
2025-10-11 00:00:00,1013941,5148105402.95605
2025-10-12 00:00:00,1014662,5143557994.16241
2025-10-13 00:00:00,1015782,5136132096.68394
2025-10-14 00:00:00,1016353,5131901112.76664
