ts,amount,len
2024-10-01 00:00:00,426,12741773.2746569
2024-11-01 00:00:00,426,12831087.8938392
2024-12-01 00:00:00,426,12831087.9118943
2025-01-01 00:00:00,426,12831087.9118943
2025-02-01 00:00:00,426,12880779.7963582
2025-03-01 00:00:00,426,12899454.9411765
2025-04-01 00:00:00,426,12899454.9411765
2025-05-01 00:00:00,426,12899454.9411781
2025-06-01 00:00:00,433,12920626.2238716
2025-07-01 00:00:00,434,12921728.9895883
2025-08-01 00:00:00,434,13017093.5523073
2025-09-01 00:00:00,439,13029575.3169562
2025-09-02 00:00:00,439,13029575.3169562
2025-09-03 00:00:00,439,13029575.3169562
2025-09-04 00:00:00,439,13029575.3169562
2025-09-05 00:00:00,439,13029575.3169562
2025-09-06 00:00:00,439,13029575.3169562
2025-09-07 00:00:00,439,13029575.3169562
2025-09-08 00:00:00,439,13029575.3169562
2025-09-09 00:00:00,440,13029651.7970856
2025-09-10 00:00:00,440,13029651.7970856
2025-09-11 00:00:00,440,13029651.7970856
2025-09-12 00:00:00,444,13028771.394858
2025-09-13 00:00:00,435,13028788.4361387
2025-09-14 00:00:00,435,13028788.4361387
2025-09-15 00:00:00,435,13028788.4361387
2025-09-16 00:00:00,435,13028788.4361387
2025-09-17 00:00:00,435,13028788.4361387
2025-09-18 00:00:00,435,13028788.4361387
2025-09-19 00:00:00,435,13028788.4361387
2025-09-20 00:00:00,430,13028937.751542
2025-09-21 00:00:00,430,13028937.751542
2025-09-22 00:00:00,430,13028937.751542
2025-09-23 00:00:00,430,13028937.751542
2025-09-24 00:00:00,404,12632065.2800694
2025-09-25 00:00:00,404,12632065.2800694
2025-09-26 00:00:00,404,12632065.2800694
2025-09-27 00:00:00,401,12386811.869424
2025-09-28 00:00:00,401,12386811.869424
2025-09-29 00:00:00,401,12386811.869424
2025-09-30 00:00:00,401,12386811.869424
2025-10-01 00:00:00,401,12386811.869424
2025-10-02 00:00:00,401,12386811.869424
2025-10-03 00:00:00,401,12386811.869424
2025-10-04 00:00:00,401,12386811.869424
2025-10-05 00:00:00,401,12386811.869424
2025-10-06 00:00:00,401,12386811.869424
2025-10-07 00:00:00,401,12386811.869424
2025-10-08 00:00:00,401,12386811.869424
2025-10-09 00:00:00,401,12386811.869424
2025-10-10 00:00:00,385,12106060.8229261
2025-10-11 00:00:00,385,12106060.8229261
2025-10-12 00:00:00,385,12106060.8229261
2025-10-13 00:00:00,385,12106060.8229261
2025-10-14 00:00:00,321,10896978.050178
