t,amount,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,id_relation,Pays
2024-10-01T00:00:00.000Z,883437,4974674.97285378,145210,328830431.422101,738227,4645844541.43181,"",World (default)
2024-11-01T00:00:00.000Z,893640,5002889.28498241,149189,332864125.200939,744451,4670025159.78164,"",World (default)
2024-12-01T00:00:00.000Z,904618,5050636.24736255,153573,337367046.97448,751045,4713269200.38818,"",World (default)
2025-01-01T00:00:00.000Z,916244,5078419.70549549,159035,342736939.720355,757209,4735682765.77524,"",World (default)
2025-02-01T00:00:00.000Z,930756,5078356.76526084,166014,349173980.330325,764742,4729182784.93059,"",World (default)
2025-03-01T00:00:00.000Z,939633,5101764.40760388,168308,354214403.030552,771325,4747550004.57346,"",World (default)
2025-04-01T00:00:00.000Z,949662,5125055.78757864,172254,360205729.673513,777408,4764850057.90521,"",World (default)
2025-05-01T00:00:00.000Z,959801,5165607.46406002,175498,367322085.380569,784303,4798285378.67951,"",World (default)
2025-06-01T00:00:00.000Z,970334,5192858.77389637,179468,372880594.464549,790866,4819978179.43187,"",World (default)
2025-07-01T00:00:00.000Z,977791,5210809.64657789,183202,379238119.480665,794589,4831571527.09729,"",World (default)
2025-08-01T00:00:00.000Z,986450,5233741.5436121,186887,382032601.076708,799563,4851708942.53548,"",World (default)
2025-09-01T00:00:00.000Z,1000726,5259674.9465651,194453,387342387.591884,806273,4872332558.97337,"",World (default)
2025-10-01T00:00:00.000Z,1011329,5288570.8101925,198547,390449194.336773,812782,4898121615.85591,"",World (default)
2025-10-02T00:00:00.000Z,1011923,5289972.40102244,198718,390470717.591313,813205,4899501683.43132,"",World (default)
2025-10-03T00:00:00.000Z,1012576,5292768.21035324,198950,390544815.582016,813626,4902223394.77143,"",World (default)
2025-10-04T00:00:00.000Z,1013183,5296135.20279366,199138,390646865.311336,814045,4905488337.48253,"",World (default)
2025-10-05T00:00:00.000Z,1013699,5297197.28070036,199244,390702738.910022,814455,4906494541.79056,"",World (default)
2025-10-06T00:00:00.000Z,1014529,5298573.10163117,199366,390720575.233213,815163,4907852526.39818,"",World (default)
2025-10-07T00:00:00.000Z,1014875,5299793.44110173,199537,390787590.112541,815338,4909005850.9894,"",World (default)
2025-10-08T00:00:00.000Z,1015472,5300956.85358765,199851,390934334.695056,815621,4910022518.8928,"",World (default)
2025-10-09T00:00:00.000Z,1015871,5301521.48208792,200022,390981048.586358,815849,4910540433.50176,"",World (default)
2025-10-10T00:00:00.000Z,1016438,5302693.65707522,200220,391048097.349623,816218,4911645559.7258,"",World (default)
2025-10-11T00:00:00.000Z,1016761,5303862.74073839,200311,391097974.077523,816450,4912764766.66107,"",World (default)
2025-10-12T00:00:00.000Z,1017457,5304687.2888735,200386,391127700.525034,817071,4913559588.34866,"",World (default)
2025-10-13T00:00:00.000Z,1018505,5307301.20632806,200696,391277357.984039,817809,4916023848.34422,"",World (default)
2025-10-14T00:00:00.000Z,1018920,5308196.59051714,200822,391334079.720524,818098,4916862510.79682,"",World (default)
2025-10-15T00:00:00.000Z,1019657,5308949.9438904,201292,391393626.755849,818365,4917556317.13474,"",World (default)
2025-10-16T00:00:00.000Z,1019903,5309491.33013146,201423,391458179.255526,818480,4918033150.87612,"",World (default)
2025-10-17T00:00:00.000Z,1020377,5310673.79014783,201563,391494442.659363,818814,4919179347.48865,"",World (default)
2025-10-18T00:00:00.000Z,1020805,5312005.31711192,201645,391526235.047029,819160,4920479082.06508,"",World (default)
2025-10-19T00:00:00.000Z,1021206,5312805.94799128,201691,391548432.501238,819515,4921257515.49024,"",World (default)
2025-10-20T00:00:00.000Z,1021780,5313559.83087682,201776,391611169.12993,820004,4921948661.7471,"",World (default)
2025-10-21T00:00:00.000Z,1022387,5314783.44372108,201888,391687092.848071,820499,4923096350.87322,"",World (default)
2024-10-01T00:00:00.000Z,114,3649.14864451171,,,114,3649148.64451171,/boundary/303427,Afghanistan
2024-11-01T00:00:00.000Z,114,3649.14864451171,,,114,3649148.64451171,/boundary/303427,Afghanistan
2024-12-01T00:00:00.000Z,113,3308.98965120312,,,113,3308989.65120312,/boundary/303427,Afghanistan
2025-01-01T00:00:00.000Z,113,3308.98965120312,,,113,3308989.65120312,/boundary/303427,Afghanistan
2025-02-01T00:00:00.000Z,113,3308.98965120312,,,113,3308989.65120312,/boundary/303427,Afghanistan
2025-03-01T00:00:00.000Z,113,3308.98965120312,,,113,3308989.65120312,/boundary/303427,Afghanistan
2025-04-01T00:00:00.000Z,113,3308.83556030304,,,113,3308835.56030304,/boundary/303427,Afghanistan
2025-05-01T00:00:00.000Z,120,3649.5959351441,,,120,3649595.9351441,/boundary/303427,Afghanistan
2025-06-01T00:00:00.000Z,120,3685.86004487449,,,120,3685860.04487449,/boundary/303427,Afghanistan
2025-07-01T00:00:00.000Z,120,3686.3270413177,,,120,3686327.0413177,/boundary/303427,Afghanistan
2025-08-01T00:00:00.000Z,120,3686.3270413177,,,120,3686327.0413177,/boundary/303427,Afghanistan
2025-09-01T00:00:00.000Z,120,3686.3271052386,,,120,3686327.1052386,/boundary/303427,Afghanistan
2025-10-01T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-02T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-03T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-04T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-05T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-06T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-07T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-08T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-09T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-10T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-11T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-12T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-13T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-14T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-15T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-16T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-17T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-18T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-19T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-20T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2025-10-21T00:00:00.000Z,126,3689.09782461164,,,126,3689097.82461164,/boundary/303427,Afghanistan
2024-10-01T00:00:00.000Z,355,2587.26396886361,20,54484.0901581558,335,2532779.87870545,/boundary/53292,Albania
2024-11-01T00:00:00.000Z,353,2649.92861015788,20,54484.0901581558,333,2595444.51999973,/boundary/53292,Albania
2024-12-01T00:00:00.000Z,355,2649.24475990638,20,54484.0901581558,335,2594760.66974823,/boundary/53292,Albania
2025-01-01T00:00:00.000Z,355,2649.24441368275,20,54484.0901581558,335,2594760.3235246,/boundary/53292,Albania
2025-02-01T00:00:00.000Z,356,2648.66178697825,20,54484.0901581558,336,2594177.6968201,/boundary/53292,Albania
2025-03-01T00:00:00.000Z,356,2649.00019849593,20,54484.0901581558,336,2594516.10833777,/boundary/53292,Albania
2025-04-01T00:00:00.000Z,358,2691.55639549804,20,54484.0901581558,338,2637072.30533989,/boundary/53292,Albania
2025-05-01T00:00:00.000Z,358,2691.99992202585,20,54484.0901581558,338,2637515.83186769,/boundary/53292,Albania
2025-06-01T00:00:00.000Z,365,2692.32541893719,20,54484.0901581558,345,2637841.32877904,/boundary/53292,Albania
2025-07-01T00:00:00.000Z,365,2692.32541893719,20,54484.0901581558,345,2637841.32877904,/boundary/53292,Albania
2025-08-01T00:00:00.000Z,365,2692.32541893719,20,54484.0901581558,345,2637841.32877904,/boundary/53292,Albania
2025-09-01T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637843.85563857,/boundary/53292,Albania
2025-10-01T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637843.85563857,/boundary/53292,Albania
2025-10-02T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637843.85563857,/boundary/53292,Albania
2025-10-03T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637843.85563857,/boundary/53292,Albania
2025-10-04T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637843.85563857,/boundary/53292,Albania
2025-10-05T00:00:00.000Z,365,2692.32794579672,20,54484.0901581558,345,2637843.85563857,/boundary/53292,Albania
