t,amount,length,labels.distribution.amount,labels.distribution.length,labels.generation.amount,labels.generation.length,labels.industrial.amount,labels.industrial.length,labels.transmissions.amount,labels.transmissions.length,labels.transmission.amount,labels.transmission.length,id_relation,Pays
2024-01-01T00:00:00.000Z,648750,79397783.6711625,62475,13561539.8278473,3775,906079.32018552,12447,2051827.88655166,114570,46158553.5239741,,,"",World (default)
2024-02-01T00:00:00.000Z,654096,79755993.6584453,62966,13660634.1312866,3990,947960.372957417,12761,2084592.58864765,115823,46516652.4430253,,,"",World (default)
2024-03-01T00:00:00.000Z,659651,80177765.8013874,63530,13769936.3948766,4184,993736.792320342,13002,2120795.36810128,117243,46990380.1210975,,,"",World (default)
2024-04-01T00:00:00.000Z,666642,80650066.3606179,64101,13895664.3060586,4554,1059698.27140373,13181,2159450.07245994,118771,47467857.6913663,,,"",World (default)
2024-05-01T00:00:00.000Z,670983,81095866.2543316,64690,14026823.7408341,4763,1113109.92953787,13266,2172485.19323058,120548,47962966.6423429,,,"",World (default)
2024-06-01T00:00:00.000Z,676673,81494353.50065,65311,14149662.3328758,4836,1125074.3740974,13372,2189971.62339511,122315,48568496.2797769,,,"",World (default)
2024-07-01T00:00:00.000Z,681073,81903225.8123649,65721,14233219.838338,4909,1138194.43837221,13503,2241381.06715234,123569,48991910.5225225,,,"",World (default)
2024-08-01T00:00:00.000Z,686260,82723805.5693095,66442,14300972.7982334,5051,1174164.79362156,13677,2276938.74272372,124489,49486108.140259,,,"",World (default)
2024-09-01T00:00:00.000Z,691934,83117973.103355,67379,14429031.4408412,5155,1202830.27977785,13808,2306071.1551746,125659,49923192.0156883,,,"",World (default)
2024-10-01T00:00:00.000Z,697360,83479945.4851115,68394,15042890.6113535,5258,1227468.87121335,13948,2328295.37816827,126619,50220844.8815876,,,"",World (default)
2024-11-01T00:00:00.000Z,704322,83908428.6306095,68808,15131356.8919367,5340,1241282.7049092,14129,2329975.49580593,127609,50623762.1110083,,,"",World (default)
2024-12-01T00:00:00.000Z,711037,84546892.5241469,69185,15231638.2477329,5439,1260648.56178789,14272,2367138.1551402,129187,51340014.0117522,,,"",World (default)
2025-01-01T00:00:00.000Z,717973,86815925.6885079,69560,15323218.3057928,5548,1292426.70964949,14523,2405268.2613607,130404,51756880.1414791,,,"",World (default)
2025-02-01T00:00:00.000Z,724477,89161239.1501558,70239,15454456.3661266,5632,1312595.59166414,14607,2419866.82807628,131172,51985870.9472504,,,"",World (default)
2025-03-01T00:00:00.000Z,729651,89556004.8987926,70752,15556290.2220523,5711,1335330.4521735,14699,2437624.70916326,132058,52288344.7473389,,,"",World (default)
2025-04-01T00:00:00.000Z,735356,90003623.9454217,71129,15621992.0826349,5777,1353690.0874838,14817,2457799.80137489,132883,52597612.8088391,,,"",World (default)
2025-05-01T00:00:00.000Z,742000,90587699.3348915,71550,15714129.2703179,5976,1381264.55538755,15012,2504981.01624127,134268,53299479.0880517,,,"",World (default)
2025-06-01T00:00:00.000Z,750000,91030500.9966509,71982,15811141.6259468,6124,1421317.27318355,15182,2524811.03354387,135190,53597203.5619616,,,"",World (default)
2025-07-01T00:00:00.000Z,756893,91404450.0403582,72306,15871735.6362991,6219,1437218.74529597,15277,2540359.8798569,135959,53783536.1313488,,,"",World (default)
2025-08-01T00:00:00.000Z,764155,91805723.5675975,72534,15910050.8806316,6298,1450208.68117145,15395,2552520.63110042,136837,54057371.8464065,,,"",World (default)
2025-09-01T00:00:00.000Z,772070,92368125.6630727,73016,15994361.9793383,6394,1471243.11457106,15579,2579911.00131562,138019,54452085.4537262,,,"",World (default)
2025-10-01T00:00:00.000Z,778339,91169626.7105376,73423,15999810.1602176,6470,1487032.15680203,15699,2604184.80144324,138991,53487647.6253153,,,"",World (default)
2025-10-02T00:00:00.000Z,778566,91188842.3384023,73439,16004305.5727146,6472,1487593.38933191,15700,2604495.6830379,139064,53510797.9253316,,,"",World (default)
2025-10-03T00:00:00.000Z,778790,91202560.9382389,73447,16006793.5505807,6473,1487741.42566332,15706,2605248.47312749,139142,53533738.2011257,139142,53533738.2011257,"",World (default)
2025-10-04T00:00:00.000Z,778978,91222145.9671047,73448,16007834.8156631,6481,1491355.80513478,15711,2606191.67445459,139248,53566831.9449868,139248,53566831.9449868,"",World (default)
2025-10-05T00:00:00.000Z,779163,91234934.8554847,73456,16008338.2239884,6486,1493537.31654818,15717,2607668.00851951,139311,53582884.597704,139311,53582884.597704,"",World (default)
2025-10-06T00:00:00.000Z,779342,91249656.4115481,73468,16012637.5109279,6495,1497531.5658638,15726,2608569.01020203,139374,53598415.1745136,139374,53598415.1745136,"",World (default)
2025-10-07T00:00:00.000Z,779562,91272335.4125639,73474,16013540.0362323,6496,1497541.05797093,15727,2608689.9005104,139432,53617116.6408212,139432,53617116.6408212,"",World (default)
2025-10-08T00:00:00.000Z,779798,91289849.703586,73488,16016462.6409882,6496,1497541.05797093,15736,2609704.1729114,139471,53629216.8976967,139471,53629216.8976967,"",World (default)
2025-10-09T00:00:00.000Z,780074,91302865.4679192,73500,16020258.5289122,6508,1503935.57436846,15747,2611362.184774,139524,53654713.0040723,139524,53654713.0040723,"",World (default)
2025-10-10T00:00:00.000Z,780271,91313535.7283737,73521,16025100.4554482,6517,1505207.60109534,15750,2611966.55514429,139560,53667811.5785698,139560,53667811.5785698,"",World (default)
2025-10-11T00:00:00.000Z,780452,91334364.3987105,73524,16024760.7348337,6518,1504830.79077387,15753,2612490.14103498,139616,53686191.4967925,139616,53686191.4967925,"",World (default)
2025-10-12T00:00:00.000Z,780739,91356530.3537818,73543,16030799.8802986,6622,1506299.9744284,15766,2614744.31575263,139713,53719556.2678242,139713,53719556.2678242,"",World (default)
2025-10-13T00:00:00.000Z,781028,91372896.9478422,73568,16035113.7908706,6631,1510048.25069841,15785,2619112.87866998,139781,53742368.9130501,139781,53742368.9130501,"",World (default)
2025-10-14T00:00:00.000Z,781199,91398185.2318126,73580,16036998.6706819,6634,1510152.13352836,15799,2620609.48477811,139846,53770057.8121509,139846,53770057.8121509,"",World (default)
2025-10-15T00:00:00.000Z,781401,91405166.0911622,73589,16037832.511984,6640,1510562.7223813,15805,2621436.35344063,139887,53782814.8582849,139887,53782814.8582849,"",World (default)
2025-10-16T00:00:00.000Z,781679,91418311.0319834,73593,16039618.8426016,6643,1510830.11061554,15808,2621437.44656649,139910,53790144.2554283,139910,53790144.2554283,"",World (default)
2025-10-17T00:00:00.000Z,781924,91435243.300096,73601,16041852.1788913,6651,1511830.25516203,15814,2622319.60542372,139947,53801665.0394731,139947,53801665.0394731,"",World (default)
2025-10-18T00:00:00.000Z,782100,91459901.6653196,73601,16041931.4688515,6652,1512076.66514099,15820,2623259.97301379,140002,53817962.205746,140002,53817962.205746,"",World (default)
2025-10-19T00:00:00.000Z,782303,91479872.1417596,73611,16045667.0103142,6652,1512076.66514099,15830,2624155.52113715,140055,53834067.2609174,140055,53834067.2609174,"",World (default)
