t,amount,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,id_relation,Pays
2024-10-01T00:00:00.000Z,880661,4966894.63944776,145210,328830431.422095,738227,4645844.54143196,716063,4593509.24289579,"",World (default)
2024-11-01T00:00:00.000Z,890790,4995074.81326603,149189,332864125.200935,744451,4670025.15978178,721955,4617084.73842503,"",World (default)
2024-12-01T00:00:00.000Z,901720,5042868.29277998,153573,337367046.974479,751045,4713269.20038831,728198,4660466.11440481,"",World (default)
2025-01-01T00:00:00.000Z,913289,5070152.297424,159035,342736939.720354,757209,4735682.76577539,734149,4682690.77313733,"",World (default)
2025-02-01T00:00:00.000Z,927745,5070173.37320171,166014,349173980.330322,764742,4729182.78493073,741525,4675814.34158035,"",World (default)
2025-03-01T00:00:00.000Z,936575,5093450.0385579,168308,354214403.030549,771325,4747550.00457359,748012,4693631.74502806,"",World (default)
2025-04-01T00:00:00.000Z,946554,5116452.20207434,172254,360205729.673513,777408,4764850.05790531,753725,4710457.0470731,"",World (default)
2025-05-01T00:00:00.000Z,956656,5156845.76841895,175498,367322085.380568,784303,4798285.37867964,760251,4743465.47488673,"",World (default)
2025-06-01T00:00:00.000Z,967063,5183833.33900592,179468,372880594.464548,790866,4819978.17943189,766441,4763463.66133797,"",World (default)
2025-07-01T00:00:00.000Z,974417,5201526.74723288,183202,379238119.480667,794589,4831571.52709732,769802,4773063.41389547,"",World (default)
2025-08-01T00:00:00.000Z,982965,5224097.69076239,186887,382032601.07671,799563,4851708.94253556,774547,4792721.87954506,"",World (default)
2025-09-01T00:00:00.000Z,996984,5249344.55678867,194453,387342387.591888,806273,4872332.5589734,780844,4812232.95840787,"",World (default)
2025-10-01T00:00:00.000Z,1007507,5278049.5691447,198547,390449194.336779,812782,4898121.61585597,787134,4837675.93813158,"",World (default)
2025-10-02T00:00:00.000Z,1008094,5279430.08399778,198718,390470717.591319,813205,4899501.68343137,787553,4839039.14169521,"",World (default)
2025-10-03T00:00:00.000Z,1008746,5282226.11008689,198950,390544815.582022,813626,4902223.39477147,787961,4841752.91941117,"",World (default)
2025-10-04T00:00:00.000Z,1009351,5285590.85620849,199138,390646865.311342,814045,4905488.33748257,788376,4845016.30546349,"",World (default)
2025-10-05T00:00:00.000Z,1009863,5286650.49485206,199244,390702738.910028,814455,4906494.5417906,788779,4846017.3774945,"",World (default)
2025-10-06T00:00:00.000Z,1010695,5288068.94194346,199366,390720575.233218,815163,4907852.52639823,789481,4847371.54908432,"",World (default)
2025-10-07T00:00:00.000Z,1011039,5289127.13358944,199537,390786171.817968,815335,4908882.3441916,789644,4848399.65282061,"",World (default)
2025-10-08T00:00:00.000Z,1011616,5290259.88755447,199851,390932393.685904,815609,4909883.63308751,789906,4849392.76344792,"",World (default)
2025-10-09T00:00:00.000Z,1012005,5290735.79742234,200021,390975325.742632,815829,4910318.32058064,790111,4849778.73632086,"",World (default)
2025-10-10T00:00:00.000Z,1012565,5291852.07435824,200218,391042351.64393,816192,4911367.59433793,790457,4850813.57848703,"",World (default)
2025-10-11T00:00:00.000Z,1012885,5292989.20825176,200308,391092242.603283,816422,4912454.83727212,790682,4851899.10122562,"",World (default)
2025-10-12T00:00:00.000Z,1013569,5293765.8501112,200383,391121971.277632,817039,4913213.83817864,791288,4852653.87000866,"",World (default)
2025-10-13T00:00:00.000Z,1014601,5296183.09608577,200693,391271348.613337,817771,4915530.1161362,792009,4854939.53862568,"",World (default)
2025-10-14T00:00:00.000Z,1015007,5297032.07576917,200818,391328128.843556,818053,4916323.12224963,792278,4855725.35616494,"",World (default)
2025-10-15T00:00:00.000Z,1015734,5297773.79882011,201288,391387167.02017,818314,4917011.90634676,792524,4856400.82890744,"",World (default)
2025-10-16T00:00:00.000Z,1015961,5298174.0037131,201419,391450800.565315,818417,4917377.8011366,792622,4856756.9881471,"",World (default)
2025-10-17T00:00:00.000Z,1016425,5299197.88012631,201559,391487153.140741,818740,4918347.60702231,792931,4857722.01779612,"",World (default)
2025-10-18T00:00:00.000Z,1016843,5300411.27112757,201641,391518987.953366,819077,4919529.26543512,793229,4858810.64602399,"",World (default)
2025-10-19T00:00:00.000Z,1017235,5301192.89628524,201686,391541252.619741,819430,4920303.52628826,793563,4859520.40421091,"",World (default)
2025-10-20T00:00:00.000Z,1017795,5301925.581907,201766,391605807.453222,819915,4920989.87477308,794047,4860206.14776105,"",World (default)
2025-10-21T00:00:00.000Z,1018399,5303272.52389672,201878,391682301.520788,820407,4922200.63724163,794537,4861416.67070844,"",World (default)
2025-10-22T00:00:00.000Z,1018973,5305764.63604658,202006,391730473.970229,820854,4924656.23933196,794969,4863826.1083906,"",World (default)
2025-10-23T00:00:00.000Z,1019306,5306720.57415184,202071,391753462.853554,821122,4925589.18855389,795219,4864752.3579277,"",World (default)
2025-10-24T00:00:00.000Z,1019510,5307710.09496614,202145,391866389.528542,821263,4926560.00010003,795350,4865713.84567941,"",World (default)
2025-10-25T00:00:00.000Z,1017564,5306697.5568148,200061,389747349.947287,821401,4927666.49357975,795479,4866811.89941866,"",World (default)
2025-10-26T00:00:00.000Z,1018009,5308784.95782714,200137,389768876.919058,821770,4929732.3676203,795846,4868876.21149093,"",World (default)
2025-10-27T00:00:00.000Z,1018333,5309839.91870121,200211,389806565.129531,822020,4930749.64028389,796094,4869888.65324982,"",World (default)
2025-10-28T00:00:00.000Z,1018599,5310169.33440577,200299,389865208.975233,822198,4931045.03422802,796264,4870179.26931302,"",World (default)
2025-10-29T00:00:00.000Z,1018800,5310663.2880463,200395,389910919.392183,822305,4931494.18168878,796358,4870625.6942521,"",World (default)
2025-10-30T00:00:00.000Z,1019122,5311414.9592918,200509,389994575.325636,822515,4932162.49645228,796562,4871261.6808793,"",World (default)
