t,amount,length,labels.distribution.amount,labels.distribution.length,labels.generation.amount,labels.generation.length,labels.industrial.amount,labels.industrial.length,labels.transmission.amount,labels.transmission.length,id_relation,Pays
2024-10-01T00:00:00.000Z,697360,82007273.0554944,697360,82007273.0554941,697360,82007273.0554941,697360,82007273.0554941,127261,49746695.4776073,"",World (default)
2024-11-01T00:00:00.000Z,704322,82456542.6791602,704322,82456542.6791598,704322,82456542.6791598,704322,82456542.6791598,128273,50150049.4170674,"",World (default)
2024-12-01T00:00:00.000Z,711037,83094506.1857861,711037,83094506.1857856,711037,83094506.1857856,711037,83094506.1857856,129861,50865103.7560483,"",World (default)
2025-01-01T00:00:00.000Z,717973,85355753.7764753,717973,85355753.7764752,717973,85355753.7764752,717973,85355753.7764752,131092,51282643.7778772,"",World (default)
2025-02-01T00:00:00.000Z,724477,87597659.5027956,724477,87597659.5027957,724477,87597659.5027957,724477,87597659.5027957,131859,51449316.8107496,"",World (default)
2025-03-01T00:00:00.000Z,729651,87993490.9700531,729651,87993490.9700532,729651,87993490.9700532,729651,87993490.9700532,132745,51752564.9496191,"",World (default)
2025-04-01T00:00:00.000Z,735356,88362538.1366347,735356,88362538.136635,735356,88362538.136635,735356,88362538.136635,133570,51982320.7786838,"",World (default)
2025-05-01T00:00:00.000Z,742000,88885968.9915377,742000,88885968.9915376,742000,88885968.9915376,742000,88885968.9915376,134989,52624173.5238275,"",World (default)
2025-06-01T00:00:00.000Z,750000,89305143.7516085,750000,89305143.7516087,750000,89305143.7516087,750000,89305143.7516087,135916,52898828.9933629,"",World (default)
2025-07-01T00:00:00.000Z,756893,89677427.6419677,756893,89677427.6419679,756893,89677427.6419679,756893,89677427.6419679,136696,53084369.0664878,"",World (default)
2025-08-01T00:00:00.000Z,764155,90079342.4617601,764155,90079342.4617601,764155,90079342.4617601,764155,90079342.4617601,137570,53356504.2560952,"",World (default)
2025-09-01T00:00:00.000Z,772070,90651920.4931928,772070,90651920.4931929,772070,90651920.4931929,772070,90651920.4931929,138752,53748653.9493845,"",World (default)
2025-10-01T00:00:00.000Z,778339,89190164.2033897,778339,89190164.2033899,778339,89190164.2033899,778339,89190164.2033899,139724,52609314.9670526,"",World (default)
2025-10-02T00:00:00.000Z,778566,89209185.3694516,778566,89209185.3694519,778566,89209185.3694519,778566,89209185.3694519,139797,52632149.2699676,"",World (default)
2025-10-03T00:00:00.000Z,778790,89223029.3141208,778790,89223029.3141209,778790,89223029.3141209,778790,89223029.3141209,139875,52655185.048301,"",World (default)
2025-10-04T00:00:00.000Z,778978,89242891.5699776,778978,89242891.5699778,778978,89242891.5699778,778978,89242891.5699778,139981,52688174.8154866,"",World (default)
2025-10-05T00:00:00.000Z,779163,89255523.8548721,779163,89255523.8548723,779163,89255523.8548723,779163,89255523.8548723,140044,52704022.0021288,"",World (default)
2025-10-06T00:00:00.000Z,779342,89270005.4138245,779342,89270005.4138246,779342,89270005.4138246,779342,89270005.4138246,140107,52718689.8383157,"",World (default)
2025-10-07T00:00:00.000Z,779555,89289102.6145497,779555,89289102.6145499,779555,89289102.6145499,779555,89289102.6145499,140165,52737454.2998629,"",World (default)
2025-10-08T00:00:00.000Z,779787,89304662.3976788,779787,89304662.397679,779787,89304662.397679,779787,89304662.397679,140205,52750471.2633054,"",World (default)
2025-10-09T00:00:00.000Z,780058,89316479.6758702,780058,89316479.6758705,780058,89316479.6758705,780058,89316479.6758705,140259,52776803.7957184,"",World (default)
2025-10-10T00:00:00.000Z,780257,89324868.0200608,780257,89324868.020061,780257,89324868.020061,780257,89324868.020061,140295,52790067.8107384,"",World (default)
2025-10-11T00:00:00.000Z,780427,89346201.7646802,780427,89346201.7646805,780427,89346201.7646805,780427,89346201.7646805,140343,52806282.8313887,"",World (default)
2025-10-12T00:00:00.000Z,780711,89367650.8222152,780711,89367650.8222155,780711,89367650.8222155,780711,89367650.8222155,140443,52838760.6486104,"",World (default)
2025-10-13T00:00:00.000Z,781016,89383811.0610187,781016,89383811.061019,781016,89383811.061019,781016,89383811.061019,140515,52861898.3477441,"",World (default)
2025-10-14T00:00:00.000Z,781201,89414019.9111539,781201,89414019.9111543,781201,89414019.9111543,781201,89414019.9111543,140591,52893738.5582426,"",World (default)
2025-10-15T00:00:00.000Z,781438,89423470.9219886,781438,89423470.9219889,781438,89423470.9219889,781438,89423470.9219889,140639,52908923.8313825,"",World (default)
2025-10-16T00:00:00.000Z,781727,89434407.8066683,781727,89434407.8066688,781727,89434407.8066688,781727,89434407.8066688,140664,52916266.9703275,"",World (default)
2025-10-17T00:00:00.000Z,781969,89452347.7446568,781969,89452347.7446572,781969,89452347.7446572,781969,89452347.7446572,140704,52928287.4292559,"",World (default)
2025-10-18T00:00:00.000Z,782143,89476064.4724177,782143,89476064.4724181,782143,89476064.4724181,782143,89476064.4724181,140760,52945183.2811092,"",World (default)
2025-10-19T00:00:00.000Z,782353,89497093.4598519,782353,89497093.4598521,782353,89497093.4598521,782353,89497093.4598521,140814,52962301.8721951,"",World (default)
2025-10-20T00:00:00.000Z,782530,89517258.4464665,782530,89517258.4464667,782530,89517258.4464667,782530,89517258.4464667,140894,52987851.0786107,"",World (default)
2025-10-21T00:00:00.000Z,782756,89543716.6843408,782756,89543716.6843408,782756,89543716.6843408,782756,89543716.6843408,141301,53042866.9558965,"",World (default)
2025-10-22T00:00:00.000Z,782991,89565724.0469359,782991,89565724.0469358,782991,89565724.0469358,782991,89565724.0469358,141722,53079112.4609322,"",World (default)
2025-10-23T00:00:00.000Z,783200,89580421.5954701,783200,89580421.59547,783200,89580421.59547,783200,89580421.59547,142191,53104805.6329675,"",World (default)
2025-10-24T00:00:00.000Z,783390,89596001.4832474,783390,89596001.4832475,783390,89596001.4832475,783390,89596001.4832475,142666,53139638.190717,"",World (default)
2025-10-25T00:00:00.000Z,783598,89612730.1592639,783598,89612730.159264,783598,89612730.159264,783598,89612730.159264,143072,53169255.5321564,"",World (default)
2025-10-26T00:00:00.000Z,783802,89632608.3120462,783802,89632608.3120464,783802,89632608.3120464,783802,89632608.3120464,143474,53227628.283984,"",World (default)
2025-10-27T00:00:00.000Z,783984,89643808.3538899,783984,89643808.3538899,783984,89643808.3538899,783984,89643808.3538899,143908,53247585.4034268,"",World (default)
2025-10-28T00:00:00.000Z,784146,89654934.6517,784146,89654934.6517,784146,89654934.6517,784146,89654934.6517,144216,53265677.0697616,"",World (default)
2025-10-29T00:00:00.000Z,784423,89666958.219614,784423,89666958.219614,784423,89666958.219614,784423,89666958.219614,144691,53294310.9820428,"",World (default)
2025-10-30T00:00:00.000Z,784686,89673944.5577398,784686,89673944.5577398,784686,89673944.5577398,784686,89673944.5577398,145137,53336838.8172003,"",World (default)
2024-10-01T00:00:00.000Z,87,40416.6067804053,87,40416.6067804053,87,40416.6067804053,87,40416.6067804053,37,27226.6768461389,/boundary/303427,Afghanistan
2024-11-01T00:00:00.000Z,87,40556.1678583719,87,40556.1678583719,87,40556.1678583719,87,40556.1678583719,37,27226.6768461389,/boundary/303427,Afghanistan
2024-12-01T00:00:00.000Z,87,41160.5846770162,87,41160.5846770162,87,41160.5846770162,87,41160.5846770162,37,27226.6768461389,/boundary/303427,Afghanistan
2025-01-01T00:00:00.000Z,87,41160.5846784848,87,41160.5846784848,87,41160.5846784848,87,41160.5846784848,37,27226.6768476076,/boundary/303427,Afghanistan
2025-02-01T00:00:00.000Z,87,41160.5846784848,87,41160.5846784848,87,41160.5846784848,87,41160.5846784848,37,27226.6768476076,/boundary/303427,Afghanistan
2025-03-01T00:00:00.000Z,87,41160.5846784848,87,41160.5846784848,87,41160.5846784848,87,41160.5846784848,37,27226.6768476076,/boundary/303427,Afghanistan
2025-04-01T00:00:00.000Z,87,41160.5846784848,87,41160.5846784848,87,41160.5846784848,87,41160.5846784848,37,27226.6768476076,/boundary/303427,Afghanistan
2025-05-01T00:00:00.000Z,87,41145.0190918518,87,41145.0190918518,87,41145.0190918518,87,41145.0190918518,37,27211.1112609745,/boundary/303427,Afghanistan
2025-06-01T00:00:00.000Z,87,41145.0190918518,87,41145.0190918518,87,41145.0190918518,87,41145.0190918518,37,27211.1112609745,/boundary/303427,Afghanistan
2025-07-01T00:00:00.000Z,88,41448.0174751721,88,41448.0174751721,88,41448.0174751721,88,41448.0174751721,37,27211.1112609745,/boundary/303427,Afghanistan
2025-08-01T00:00:00.000Z,88,41448.0174751721,88,41448.0174751721,88,41448.0174751721,88,41448.0174751721,37,27211.1112609745,/boundary/303427,Afghanistan
2025-09-01T00:00:00.000Z,88,41448.0174751721,88,41448.0174751721,88,41448.0174751721,88,41448.0174751721,37,27211.1112609745,/boundary/303427,Afghanistan
2025-10-01T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-02T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-03T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-04T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-05T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-06T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-07T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-08T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-09T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-10T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-11T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
