t,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,Country,growth_percent,growth_km
2025-10-30T00:00:00Z,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,Afghanistan,0.11487136965518,380.10817340852
2025-10-30T00:00:00Z,2692.29800151668,20,54484.0901581558,345,2637.81391135852,345,2637.81391135852,Albania,0.0162512705930672,43.0535878339301
2025-10-30T00:00:00Z,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,Algeria,0.0240688246851769,766.8406518187
2025-10-30T00:00:00Z,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,Andorra,-0.0684777956650407,-4.0567314538727
2025-10-30T00:00:00Z,5980.64545685553,,,193,5980.64545685553,191,5980.03401920823,Angola,0.00013164014192487,0.787189391019638
2025-10-30T00:00:00Z,61201.9626295794,171,1732731.90913088,2911,59510.6665792257,2660,58786.5127281748,Argentina,-0.235499575901086,-18852.8819464922
2025-10-30T00:00:00Z,3352.77486494188,89,354623.782569333,304,3001.79020729131,304,3001.79020729131,Armenia,0.00102730962586347,3.44080312194001
2025-10-30T00:00:00Z,82935.8872684756,2225,7948764.30181822,13638,75048.9374412548,13215,73894.8759069698,Australia,0.0160920251870734,1313.46999460101
2025-10-30T00:00:00Z,13834.1227089993,3173,1548965.60732618,5686,12386.0445418761,5272,11714.9152622238,Austria,0.00359235000248092,49.5191207345015
2025-10-30T00:00:00Z,7804.95867437383,23,177457.129996268,735,7627.50154437756,732,7625.77494346652,Azerbaijan,0.0575577148816824,424.78588139578
2025-10-30T00:00:00Z,64.2756666813976,,,20,64.2756666813976,19,19.3398313771619,Bahrain,0.0119925215146449,0.761692699458997
2025-10-30T00:00:00Z,9974.54194475462,5,5936.51825413372,769,9968.60542650048,767,9967.13363338497,Bangladesh,0.120899374595203,1075.84669090386
2025-10-30T00:00:00Z,35498.7066927011,1735,11654428.2769634,2790,23929.9691664834,2770,23917.650195472,Belarus,0.00160726437019978,56.9642498461981
2025-10-30T00:00:00Z,7150.89474308746,210,635775.440609206,3801,6512.55125321505,3613,5734.53270352935,Belgium,-0.00187409033745423,-13.4265853760908
2025-10-30T00:00:00Z,629.715743237181,11,95567.57206536,13,534.148171171821,13,534.148171171821,Belize,4.87819963081479e-06,0.00307186412101146
2025-10-30T00:00:00Z,1588.13155907881,,,37,1588.13155907881,37,1588.13155907881,Benin,0.147217028645611,203.79754082096
2025-10-30T00:00:00Z,2075.68296021338,,,64,2075.68296021338,64,2075.68296021338,Bhutan,0.637940487290316,808.43120331516
2025-10-30T00:00:00Z,7656.47034003649,1,8841.32885160838,246,7647.62901118488,246,7647.62901118488,Bolivia,0.199807840176575,1275.05651387772
2025-10-30T00:00:00Z,4822.0577842103,11,116852.019204355,232,4705.20576500595,226,4704.66160555935,Bosnia and Herzegovina,0.0685526629048589,309.35761358741
2025-10-30T00:00:00Z,5428.14548294865,,,159,5428.14548294865,159,5428.14548294865,Botswana,0.0126660858760304,67.8934130346997
2025-10-30T00:00:00Z,316609.798139676,84,1162714.98311546,15356,315447.08315656,15140,314874.77701478,Brazil,0.0197309419481911,6126.13513069198
2025-10-30T00:00:00Z,362.504057833494,,,36,362.504057833494,36,362.504057833494,Brunei,0,0
2025-10-30T00:00:00Z,12982.1515814894,302,521631.801585491,1737,12472.1821698112,1736,12472.0222561974,Bulgaria,0.37271413465898,3524.86455157583
2025-10-30T00:00:00Z,1543.82346760056,,,25,1543.82346760056,25,1543.82346760056,Burkina Faso,0.0371120674849502,55.2442522951101
2025-10-30T00:00:00Z,502.053765632435,,,9,502.053765632435,9,502.053765632435,Burundi,0,0
2025-10-30T00:00:00Z,2928.0888050071,,,156,2928.0888050071,156,2928.0888050071,Cambodia,0.0452765162365934,126.83118606683
2025-10-30T00:00:00Z,2201.4973412949,2,1925.88967237576,61,2199.57145162253,61,2199.57145162253,Cameroon,0.00756460888287388,16.5284351958799
2025-10-30T00:00:00Z,147767.753010396,2399,3991665.27592138,14085,143990.929750944,13900,143631.378827623,Canada,0.0593075985663705,8273.093281362
2025-10-30T00:00:00Z,44.9406688065005,5,6956.16935609989,2,37.9844994504006,2,37.9844994504006,Cape Verde,0,0
2025-10-30T00:00:00Z,84.2504769465718,,,3,84.2504769465718,3,84.2504769465718,Central African Republic,0,0
2025-10-30T00:00:00Z,68.3995499343326,1,22384.9979265912,6,46.0145520077414,6,46.0145520077414,Chad,0.00424916999463702,0.2894115563264
2025-10-30T00:00:00Z,23106.3404834088,97,280971.117791525,2493,22826.3168235937,2412,22800.5410629132,Chile,0.00807936008111356,185.1882424289
2025-10-30T00:00:00Z,19309.5419576101,9,5017.6377384773,1617,19304.5243198716,1616,19304.3033642857,Colombia,0.34213299945103,4922.337436517
2025-10-30T00:00:00Z,2493.15117979014,3,60825.3556422271,209,2432.32582414792,209,2432.32582414792,Costa Rica,0.00015010419405089,0.374176283060024
2025-10-30T00:00:00Z,9591.90485460662,565,2321526.90677034,733,7276.85411610748,707,7194.72946285798,Croatia,0.00668677314328528,63.7128583446702
2025-10-30T00:00:00Z,6235.77932826804,1,50.2550272652612,1202,6235.72907324078,1202,6235.72907324078,Cuba,4.75061092788804e-06,0.0296236206904723
2025-10-30T00:00:00Z,16244.5702588703,3024,3129694.42921919,4344,13211.1697718284,4305,13147.1455175376,Czech Republic,0.00546790555180921,88.3407370984005
2025-10-30T00:00:00Z,7846.33268087551,28,137789.999983172,270,7708.54268089234,270,7708.54268089234,Democratic Republic of the Congo,0.0191740259189496,147.61540459801
2025-10-30T00:00:00Z,285.369603590836,,,38,285.369603590836,37,284.159974641632,Djibouti,-0.14237918446299,-47.376055587397
2025-10-30T00:00:00Z,2340.18969799726,,,218,2340.18969799726,218,2340.18969799726,Dominican Republic,0.0214189590440419,49.0733277005197
2025-10-30T00:00:00Z,604.126165691247,,,49,604.126165691247,49,604.126165691247,East Timor,0,0
2025-10-30T00:00:00Z,8233.63735100832,17,58778.8451518305,679,8174.85850585649,678,8172.59395532278,Ecuador,0.0347334405980405,276.38282732195
2025-10-30T00:00:00Z,27978.8098103163,,,1960,27978.8098103163,1921,27914.9470485912,Egypt,0.000995024432083042,27.8119257961989
2025-10-30T00:00:00Z,1495.19957371552,,,99,1495.19957371552,98,1493.41876104258,El Salvador,2.67641641834923e-14,4.00177668780088e-11
2025-10-30T00:00:00Z,1014.54168812142,,,26,1014.54168812142,26,1014.54168812142,Equatorial Guinea,0.036095541722999,35.3446476300919
2025-10-30T00:00:00Z,227.067651521929,,,6,227.067651521929,6,227.067651521929,Eritrea,5.22198427063842e-05,0.0118568178850182
2025-10-30T00:00:00Z,7385.09517738669,935,2685755.88658718,857,4737.22163315199,817,4414.44515290685,Estonia,0.00479989418931249,35.2783431153302
2025-10-30T00:00:00Z,822.765911328097,,,58,822.765911328097,58,822.765911328097,Eswatini,0.000977778641506096,0.803697097200029
2025-10-30T00:00:00Z,17334.3297993158,9,31839.4073350736,1620,17302.4903919807,1606,17296.1492829118,Ethiopia,0.0832213482959992,1331.7557856258
2025-10-30T00:00:00Z,9.41085253417851,3,9410.85253417851,,,,,Federated States of Micronesia,0,0
2025-10-30T00:00:00Z,365.413450806147,10,140927.897975662,14,224.485552830485,14,224.485552830485,Fiji,0.0796755839124493,26.965998394573
2025-10-30T00:00:00Z,23876.8235752631,110,732458.547509093,2587,23171.609639759,2507,22727.2592083581,Finland,0.0252402987834689,587.821373930499
2025-10-30T00:00:00Z,99237.2831107767,22873,8619674.49858456,39446,90708.2441687884,35219,83600.0104646019,France,0.0338125625432905,3245.7207073926
2025-10-30T00:00:00Z,459.661867308502,,,19,459.661867308502,19,459.661867308502,Gabon,0.0459126528523571,20.177875930315
2025-10-30T00:00:00Z,5193.05355251979,84,343717.886345713,626,4849.33566617408,626,4849.33566617408,Georgia,0.035326849940019,177.19450006631
2025-10-30T00:00:00Z,68743.120922459,5094,3517290.98826165,48451,66546.102112916,46910,62732.7852809218,Germany,0.00788102234636549,537.529787878695
